epoch_idx,tr_loss,tr_acc,vl_loss,vl_acc,lr
0,1.3861381515421254,0.27788086741696405,1.3725290267571897,0.2969388203258817,9.997557473810373e-05
1,1.367945522505472,0.30848202031292893,1.3623403520618451,0.3169660503315912,9.990232305719946e-05
2,1.3592204220518123,0.32141641504254737,1.3611879402943303,0.32276340638587553,9.978031724785248e-05
3,1.350988746536259,0.33013450452923415,1.3523697623926334,0.33031753700206423,9.960967771506668e-05
4,1.3454933063989807,0.33838045566840513,1.3509112290595955,0.33119592428301636,9.939057285945934e-05
5,1.3382791463457684,0.3482294811968158,1.3502618724206956,0.33914532917563356,9.912321891107012e-05
6,1.3301820238520736,0.3556189953335163,1.3428919148374971,0.3395845228161096,9.880787971596802e-05
7,1.320557602693378,0.3641943453197914,1.3355674602553027,0.3534630418551539,9.844486647586726e-05
8,1.3087074368987606,0.37585506450727424,1.3257277154174842,0.3588212042689622,9.80345374410087e-05
9,1.29720830196278,0.38404611583859455,1.3247632120242938,0.36395976986253237,9.757729755661012e-05
10,1.2787547940367563,0.3969475706835026,1.315091151798283,0.3726118845799113,9.707359806323419e-05
11,1.2628008380029152,0.4119681581114466,1.3287092666233515,0.36633141552110327,9.652393605146847e-05
12,1.2494803176252127,0.42133406533077133,1.305416743951885,0.380385612016338,9.592885397135708e-05
13,1.2324793367126698,0.4313368103211639,1.3038720163286865,0.3897404365584786,9.5288939097068e-05
14,1.215713532503051,0.44074663738676917,1.2977362881745949,0.3916728885765734,9.460482294732424e-05
15,1.1996183443435953,0.4514520999176503,1.3920431852476824,0.37186525539110193,9.387718066217127e-05
16,1.1841596351990555,0.46258578094976666,1.2829923486514831,0.4054196495234749,9.310673033669524e-05
17,1.1668038451511258,0.47337908317320887,1.3169087178727332,0.39650401862181034,9.229423231234978e-05
18,1.1476738261345354,0.48255833104584134,1.3042771742902959,0.40462910097061794,9.144048842659084e-05
19,1.1337817486269017,0.4894208070271754,1.3256402756522896,0.4029162457727612,9.054634122155993e-05
20,1.1200445529447949,0.49737029920395276,1.3064788872296487,0.3994026966489525,8.961267311259669e-05
21,1.1038201612500806,0.508163601427395,1.272417173633159,0.417980587641091,8.864040551740159e-05
22,1.0871816587984775,0.5165522920669777,1.3529609780029073,0.4041899073301419,8.763049794670778e-05
23,1.0702077710834663,0.5241833653582213,1.3502275734384612,0.4080548113663314,8.65839470573599e-05
24,1.05064879258321,0.5355256656601702,1.3251755900981739,0.42557863762132725,8.550178566873413e-05
25,1.034871027682988,0.5438704364534724,1.3399988199244732,0.42470025034037506,8.438508174347012e-05
26,1.0187283011867618,0.551183090859182,1.2862014615429453,0.43778822082656244,8.32349373335208e-05
27,1.0061247435631806,0.5558056546802086,1.2759198827220808,0.4401159471210857,8.205248749256017e-05
28,0.9884638266271528,0.5663024979412572,1.3161859521439039,0.4358996881725153,8.083889915582238e-05
29,0.9683195635547946,0.5773373593192423,1.4077365928354029,0.41521366770609164,7.959536998847746e-05
30,0.9552168194402747,0.5824869612956355,1.3255389480022444,0.4417409635908472,7.83231272036805e-05
31,0.9373370570800084,0.5916003293988471,1.285682657625821,0.4586938381132241,7.702342635146036e-05
32,0.9225781476186783,0.6006258578094976,1.3706245926394125,0.442663270235847,7.56975500796434e-05
33,0.9081247851444803,0.6045896239363162,1.2617361270851013,0.4611972418639378,7.434680686803493e-05
34,0.8947332312214548,0.612001097996157,1.6633326444571823,0.4228117176863279,7.297252973710759e-05
35,0.8766376167988993,0.6207740872906945,1.3053617063543115,0.46334929070227066,7.157607493247112e-05
36,0.8609975034667672,0.6285149601976393,1.3213430875280356,0.473406825069173,7.015882058642166e-05
37,0.8477151846061066,0.6341367005215481,1.3574647166375151,0.46488646844393694,6.87221653578916e-05
38,0.8337215996272872,0.6419214932747735,1.4943845303006582,0.44398085115727526,6.726752705214197e-05
39,0.8177960296600624,0.6473346143288499,1.4244124131364164,0.459264789845843,6.579634122155994e-05
40,0.8070165620005919,0.6536151523469668,1.37163082200122,0.4698493565813167,6.431005974894189e-05
41,0.7913186704395827,0.6624650013724952,1.301025444792478,0.4836400368922658,6.281014941466034e-05
42,0.7802741884393349,0.666527587153445,1.3842498711736742,0.4810048750494093,6.12980904491289e-05
43,0.7651406479516659,0.6744660993686522,1.4223629578576948,0.47424129298607753,5.977537507199341e-05
44,0.7530466814601353,0.679593741421905,1.3449140418486307,0.4857920857305986,5.8243506019491463e-05
45,0.7379516064574225,0.6854899807850673,1.3703857638094652,0.4860556019148843,5.67039950614331e-05
46,0.7278350780025276,0.6918693384573154,1.3909369160773082,0.48425490798893234,5.515836150926649e-05
47,0.7150573071712261,0.6966675816634642,1.412039743167588,0.48561640827440816,5.3608130716701046e-05
48,0.7035030686439736,0.7028053801811693,1.3719294583657664,0.4892177961263121,5.205483257436738e-05
49,0.6903800462249737,0.7079879220422729,1.3709203028554287,0.49817734639202427,5.050000000000003e-05
