epoch_idx,tr_loss,tr_acc,vl_loss,vl_acc,lr
0,1.352462850331144,0.3275625605142589,1.325298700516601,0.3580074487895717,9.990232305719945e-05
1,1.2958599051066222,0.3821556551510735,1.262501972385361,0.4074435192017146,9.960967771506666e-05
2,1.2296594265351348,0.4285846900172684,1.224961308412494,0.43181019640912127,9.912321891107009e-05
3,1.1694847408748483,0.4647874389866544,1.1791473638525096,0.46012965110150733,9.844486647586723e-05
4,1.1136257164417593,0.4963227294051885,1.0936207790945398,0.5075893327711606,9.757729755661011e-05
5,1.0632099429718345,0.5222113532236008,1.060572629563652,0.5221970415656513,9.652393605146844e-05
6,1.0178871609522018,0.5453010989888504,1.0188330068243459,0.5446927374301676,9.528893909706797e-05
7,0.9769976894794552,0.5657267201022129,0.9729732861254481,0.566863427145919,9.387718066217124e-05
8,0.9403169982683177,0.5838315881936057,0.9645312579575059,0.5726959699237553,9.229423231234974e-05
9,0.9071320424747866,0.5995059041953226,0.9354416396833933,0.5877077404167106,9.054634122155989e-05
10,0.877955062677595,0.6132347803519559,0.9171664619398889,0.5927233758476512,8.864040551740155e-05
11,0.8506247026083356,0.6257668466705928,0.8641499543402779,0.6191103615473806,8.658394705735986e-05
12,0.8247777378598499,0.638416697443678,0.8462414682290529,0.627630793015003,8.438508174347008e-05
13,0.802524834121943,0.6488635796492419,0.8392470416623623,0.6344734900390008,8.205248749256013e-05
14,0.7811423361344854,0.6581984967509458,0.7865176399988643,0.656925266153684,7.959536998847742e-05
15,0.7603582527406328,0.6680903945779224,0.8037637740992465,0.6483082112364288,7.702342635146032e-05
16,0.742327979693744,0.6762624397352844,0.7717443323701663,0.6628105126313201,7.434680686803489e-05
17,0.7243002337089951,0.684716967948654,0.7654977593254061,0.6679315554618601,7.157607493247108e-05
18,0.706539297445209,0.692843097132248,0.7430620175931573,0.6762938758300833,6.872216535789155e-05
19,0.6894823180277794,0.7000938282942216,0.7332271462159324,0.6815642458100558,6.579634122155988e-05
20,0.6744495003770875,0.7069892097461645,0.7213701691661346,0.6891360106812832,6.28101494146603e-05
21,0.6606620871889711,0.7135951209287005,0.7039510955868683,0.6950915287586522,5.9775375071993364e-05
22,0.6462937273303838,0.7195422377049998,0.6983427402760483,0.6988071395945329,5.670399506143306e-05
23,0.6327102647810521,0.7258447041913298,0.682903733978427,0.7038139910755068,5.3608130716701005e-05
24,0.6184961351577571,0.7325813760817703,0.6637301568191514,0.7128878113910263,5.049999999999999e-05
25,0.6059238387206298,0.7381262290009283,0.6574538200847598,0.7159709778293103,4.7391869283298976e-05
26,0.5932159147886755,0.7437269796272821,0.6561032894444203,0.7178507431221671,4.429600493856693e-05
27,0.5810135212342298,0.7493886188275456,0.641404018575169,0.7243332981975334,4.122462492800662e-05
28,0.5701044106940862,0.7541538983659902,0.6317688288375694,0.7296475879273392,3.8189850585339674e-05
29,0.5573860301200418,0.7598854097002485,0.6242572093953621,0.7330030568145884,3.5203658778440106e-05
30,0.5471420526985242,0.7639000628849206,0.6248074615899277,0.7327658901654897,3.227783464210844e-05
31,0.5364466200454795,0.7692532665222642,0.6119554836057837,0.7404869821861495,2.942392506752889e-05
32,0.5257881948979868,0.7741393250351856,0.5989431494516505,0.7448438213695935,2.6653193131965075e-05
33,0.5161282942837033,0.7787299242386433,0.6136705425550353,0.7383085625944275,2.3976573648539646e-05
34,0.5068340707124876,0.7825000249543336,0.6074429075631056,0.7414795685323776,2.1404630011522576e-05
35,0.4978656992073355,0.7868660351556651,0.591350900308426,0.7487790309546397,1.8947512507439848e-05
36,0.4891071934393871,0.7907439385923759,0.5768362050971899,0.7549014440813745,1.66149182565299e-05
37,0.48094170793896757,0.7943134064661669,0.5716360078910628,0.7584150240680229,1.4416052942640132e-05
38,0.4737649504361002,0.7976423145643472,0.5666345589561592,0.7603035733108464,1.235959448259843e-05
39,0.4665958814587035,0.8008684108082209,0.5698267429703708,0.760452900460279,1.04536587784401e-05
40,0.45986040891738134,0.803753131768863,0.5578907611419427,0.763650258248129,8.70576768765026e-06
41,0.4546242479986105,0.8060439395905493,0.5537267980360775,0.765758406240118,7.122819337828748e-06
42,0.44901487909333787,0.8093019773813921,0.5515626193387146,0.7684023751800709,5.711060902932039e-06
43,0.44448543423233544,0.8109669305171536,0.5539882153001423,0.7669266715856786,4.476063948531556e-06
